ticker,exchange,name,product_type,size,price_tick,long_margin_rate,short_margin_rate,max_market_order_volume,min_market_order_volume,max_limit_order_volume,min_limit_order_volume,delivery_year,delivery_month
AP107,CZCE,苹果107,Futures,10,1.0,0.07,0.07,200,1,1000,1,2021,7
CY107,CZCE,棉纱107,Futures,5,5.0,0.05,0.05,200,1,1000,1,2021,7
FG107,CZCE,玻璃107,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,7
JR107,CZCE,粳稻107,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,7
LR011,CZCE,晚籼稻011,Futures,20,1.0,0.05,0.05,200,1,1000,1,2020,11
CF101,CZCE,棉花101,Futures,5,5.0,0.05,0.05,200,1,1000,1,2021,1
TA101,CZCE,化纤101,Futures,5,2.0,0.05,0.05,200,1,1000,1,2021,1
SR101,CZCE,白砂糖101,Futures,10,1.0,0.05,0.05,200,1,1000,1,2021,1
ag2101,SHFE,白银2101,Futures,15,1.0,0.08,0.08,30,1,500,1,2021,1
al2101,SHFE,铝2101,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,1
au2102,SHFE,黄金2102,Futures,1000,0.02,0.08,0.08,30,1,500,1,2021,2
cu2101,SHFE,铜2101,Futures,5,10.0,0.09,0.09,30,1,500,1,2021,1
hc2101,SHFE,热轧板2101,Futures,10,1.0,0.1,0.1,30,1,500,1,2021,1
ni2101,SHFE,镍2101,Futures,1,10.0,0.1,0.1,30,1,500,1,2021,1
pb2101,SHFE,铅2101,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,1
rb2101,SHFE,螺纹钢2101,Futures,10,1.0,0.1,0.1,30,1,500,1,2021,1
ru2101,SHFE,天然橡胶2101,Futures,10,5.0,0.1,0.1,30,1,500,1,2021,1
sn2101,SHFE,锡2101,Futures,1,10.0,0.09,0.09,30,1,500,1,2021,1
sp2101,SHFE,漂针浆2101,Futures,10,2.0,0.07,0.07,30,1,500,1,2021,1
wr2101,SHFE,线材2101,Futures,10,1.0,0.2,0.2,30,1,500,1,2021,1
zn2101,SHFE,锌2101,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,1
AP101,CZCE,苹果101,Futures,10,1.0,0.07,0.07,200,1,1000,1,2021,1
CY101,CZCE,棉纱101,Futures,5,5.0,0.05,0.05,200,1,1000,1,2021,1
FG101,CZCE,玻璃101,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,1
JR101,CZCE,粳稻101,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,1
LR101,CZCE,晚籼稻101,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,1
MA101,CZCE,甲醇MA101,Futures,10,1.0,0.07,0.07,200,1,1000,1,2021,1
OI101,CZCE,菜籽油101,Futures,10,1.0,0.05,0.05,200,1,1000,1,2021,1
PM101,CZCE,普通小麦101,Futures,50,1.0,0.05,0.05,200,1,1000,1,2021,1
RI101,CZCE,早籼稻101,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,1
RM101,CZCE,菜籽粕101,Futures,10,1.0,0.05,0.05,200,1,1000,1,2021,1
SF101,CZCE,硅铁101,Futures,5,2.0,0.05,0.05,200,1,1000,1,2021,1
SM101,CZCE,锰硅101,Futures,5,2.0,0.05,0.05,200,1,1000,1,2021,1
ag2105,SHFE,白银2105,Futures,15,1.0,0.08,0.08,30,1,500,1,2021,5
al2105,SHFE,铝2105,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,5
au2106,SHFE,黄金2106,Futures,1000,0.02,0.08,0.08,30,1,500,1,2021,6
bu2011,SHFE,沥青2011,Futures,10,2.0,0.1,0.1,30,1,500,1,2020,11
cu2105,SHFE,铜2105,Futures,5,10.0,0.09,0.09,30,1,500,1,2021,5
hc2105,SHFE,热轧板2105,Futures,10,1.0,0.1,0.1,30,1,500,1,2021,5
ni2105,SHFE,镍2105,Futures,1,10.0,0.1,0.1,30,1,500,1,2021,5
pb2105,SHFE,铅2105,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,5
rb2105,SHFE,螺纹钢2105,Futures,10,1.0,0.1,0.1,30,1,500,1,2021,5
ru2105,SHFE,天然橡胶2105,Futures,10,5.0,0.1,0.1,30,1,500,1,2021,5
sn2105,SHFE,锡2105,Futures,1,10.0,0.09,0.09,30,1,500,1,2021,5
sp2105,SHFE,漂针浆2105,Futures,10,2.0,0.07,0.07,30,1,500,1,2021,5
wr2105,SHFE,线材2105,Futures,10,1.0,0.2,0.2,30,1,500,1,2021,5
zn2105,SHFE,锌2105,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,5
TA106,CZCE,化纤106,Futures,5,2.0,0.05,0.05,200,1,1000,1,2021,6
CY106,CZCE,棉纱106,Futures,5,5.0,0.05,0.05,200,1,1000,1,2021,6
FG106,CZCE,玻璃106,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,6
MA106,CZCE,甲醇MA106,Futures,10,1.0,0.07,0.07,200,1,1000,1,2021,6
SF106,CZCE,硅铁106,Futures,5,2.0,0.05,0.05,200,1,1000,1,2021,6
SM106,CZCE,锰硅106,Futures,5,2.0,0.05,0.05,200,1,1000,1,2021,6
b2106,DCE,黄大豆2号2106,Futures,10,1.0,0.05,0.05,1000,1,1000,1,2021,6
bb2106,DCE,胶合板2106,Futures,500,0.05,0.2,0.2,1000,1,1000,1,2021,6
fb2106,DCE,纤维板2106,Futures,500,0.05,0.2,0.2,1000,1,1000,1,2021,6
i2106,DCE,铁矿石2106,Futures,100,0.5,0.05,0.05,1000,1,1000,1,2021,6
j2106,DCE,焦炭2106,Futures,100,0.5,0.05,0.05,500,1,500,1,2021,6
