ticker,exchange,name,product_type,size,price_tick,long_margin_rate,short_margin_rate,max_market_order_volume,min_market_order_volume,max_limit_order_volume,min_limit_order_volume,delivery_year,delivery_month
512090,SH,MSCI易基,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512120,SH,医药50,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512150,SH,A50ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512160,SH,MSCI基金,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512180,SH,建信MSCI,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512200,SH,地产ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512280,SH,景顺MSCI,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512290,SH,生物医药,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512310,SH,工业ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512340,SH,原料ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512360,SH,MSCI国际,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512390,SH,MSCI低波,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512400,SH,有色ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512500,SH,中证500,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512520,SH,MSCIETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512550,SH,富时A50,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512580,SH,环保ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512600,SH,主要消费,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512610,SH,医药卫生,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512640,SH,金融地产,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512660,SH,军工ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512670,SH,国防ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512680,SH,军工基金,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512690,SH,酒ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512700,SH,银行基金,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512710,SH,军工龙头,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512720,SH,计算机,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512750,SH,基本面50,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512760,SH,半导体50,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512770,SH,战略新兴,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512790,SH,民企成长,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512800,SH,银行ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512810,SH,军工行业,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512860,SH,MSCI中国,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512880,SH,证券ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512910,SH,100ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512920,SH,MSCI新华,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512930,SH,AIETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512950,SH,央企改革,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512990,SH,MSCIA股,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
515880,SH,通信ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
518800,SH,黄金基金,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
518880,SH,黄金ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
600000,SH,浦发银行,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600004,SH,白云机场,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600006,SH,东风汽车,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600007,SH,中国国贸,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600008,SH,首创股份,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600009,SH,上海机场,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600010,SH,包钢股份,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600011,SH,华能国际,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600012,SH,皖通高速,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600015,SH,华夏银行,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600016,SH,民生银行,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600017,SH,日照港,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600018,SH,上港集团,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600019,SH,宝钢股份,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600020,SH,中原高速,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600021,SH,上海电力,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600022,SH,山东钢铁,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600023,SH,浙能电力,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600025,SH,华能水电,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600026,SH,中远海能,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600027,SH,华电国际,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600028,SH,中国石化,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600029,SH,南方航空,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600030,SH,中信证券,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600031,SH,三一重工,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600033,SH,福建高速,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600035,SH,楚天高速,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600036,SH,招商银行,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
600037,SH,歌华有线,Stock,1,0.01,1.0,1.0,0,0,0,0,0,0
